UsageClass	CheckoutType	MaterialType	CheckoutYear	CheckoutMonth	Checkouts	Title	ISBN	Creator	Subjects	Publisher	PublicationYear
Digital	OverDrive	AUDIOBOOK	2020	6	1	Mexifornia: A State of Becoming (unabridged) (Unabridged)		Victor Davis Hanson	Nonfiction, Politics	Blackstone Audio, Inc.	2005
Digital	OverDrive	EBOOK	2020	6	1	The Case Against Free Speech: The First Amendment, Fascism, and the Future of Dissent		P. E. Moskowitz	Nonfiction, Politics	Hachette Digital, Inc.	2019
Digital	OverDrive	EBOOK	2020	6	77	A Very Stable Genius: Donald J. Trump's Testing of America		Philip Rucker	Nonfiction, Politics	Penguin Group (USA), Inc.	2020
Digital	OverDrive	EBOOK	2020	6	1	Trump's Enemies: How the Deep State Is Undermining the Presidency		Corey R. Lewandowski	Nonfiction, Politics	Hachette Digital, Inc.	2018
Digital	OverDrive	EBOOK	2020	6	2	The Smallest Minority: Independent Thinking in the Age of Mob Politics		Kevin D. Williamson	Nonfiction, Politics	Simon & Schuster, Inc.	2019
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Great Convergence: Asia, the West, and the Logic of One World (unabridged) (Unabridged)		Kishore Mahbubani	Nonfiction, Politics	Gildan Media Corp	2013
Digital	OverDrive	EBOOK	2020	6	3	Everything Trump Touches Dies: A Republican Strategist Gets Real About the Worst President Ever		Rick Wilson	Nonfiction, Politics	Simon & Schuster, Inc.	2018
Digital	OverDrive	EBOOK	2020	6	3	Will He Go?: Trump and the Looming Election Meltdown in 2020		Lawrence Douglas	Nonfiction, Politics	Hachette Digital, Inc.	2020
Digital	OverDrive	AUDIOBOOK	2020	6	1	It's Even Worse Than It Looks: How the American Constitutional System Collided with the New Politics of Extremism (unabridged) (Unabridged)		Thomas E. Mann	Nonfiction, Politics	Blackstone Audio, Inc.	2012
Digital	OverDrive	EBOOK	2020	6	1	Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate		Gary J. Byrne	Nonfiction, Politics	Hachette Digital, Inc.	2016
Digital	OverDrive	AUDIOBOOK	2020	6	2	The Resilience Dividend: Being Strong in a World Where Things Go Wrong (unabridged) (Unabridged)		Judith Rodin	Nonfiction, Politics	Gildan Media Corp	2015
Digital	OverDrive	AUDIOBOOK	2020	6	3	Triggered: How the Left Thrives on Hate and Wants to Silence Us (unabridged) (Unabridged)		Donald Trump	Nonfiction, Politics	Blackstone Audio, Inc.	2019
Digital	OverDrive	EBOOK	2020	6	1	Revolutionary Love: A Political Manifesto to Heal and Transform the World		RABBI Michael Lerner	Nonfiction, Politics	University of California Press	2020
Digital	OverDrive	EBOOK	2020	6	1	Tomorrow Is Now		Eleanor Roosevelt	Nonfiction, Politics	Penguin Group (USA), Inc.	2013
Digital	OverDrive	AUDIOBOOK	2020	6	1	The Deep State: How an Army of Bureaucrats Protected Barack Obama and Is Working to Destroy the Trump Agenda (unabridged) (Unabridged)		Jason Chaffetz	Nonfiction, Politics	HarperCollins Publishers Inc.	2018
Digital	OverDrive	AUDIOBOOK	2020	6	1	Republican Like Me: How I Left the Liberal Bubble and Learned to Love the Right (unabridged) (Unabridged)		Ken Stern	Nonfiction, Politics	HarperCollins Publishers Inc.	2017
Digital	OverDrive	EBOOK	2020	6	1	"Guilty: Liberal ""Victims"" and Their Assault on America"		Ann Coulter	Nonfiction, Politics	Random House, Inc.	2009
Digital	OverDrive	EBOOK	2020	6	5	The Plot to Betray America: How Team Trump Embraced Our Enemies, Compromised Our Security, and How We Can Fix It		Malcolm Nance	Nonfiction, Politics	Hachette Digital, Inc.	2019
Digital	OverDrive	AUDIOBOOK	2020	6	3	Arguing with Socialists (Unabridged)		Glenn Beck	Nonfiction, Politics	Simon & Schuster - Audiobooks	2020
Digital	OverDrive	AUDIOBOOK	2020	6	2	Proof of Conspiracy: How Trump's International Collusion Is Threatening American Democracy (unabridged) (Unabridged)		Seth Abramson	Nonfiction, Politics	Macmillan Audio	2019
Digital	OverDrive	EBOOK	2020	6	1	Republic, Lost: How Money Corrupts Congress—and a Plan to Stop It		Lawrence Lessig	Nonfiction, Politics	Hachette Digital, Inc.	2013
Digital	OverDrive	AUDIOBOOK	2020	6	2	House of Trump, House of Putin: The Untold Story of Donald Trump and the Russian Mafia (unabridged) (Unabridged)		Craig Unger	Nonfiction, Politics	Books on Tape	2018
Digital	OverDrive	EBOOK	2020	6	3	Dead Aid: Why Aid Is Not Working and How There Is a Better Way for Africa		Dambisa Moyo	Nonfiction, Politics	Macmillan Publishers	2013
Digital	OverDrive	EBOOK	2020	6	1	Victory: The Triumphant Gay Revolution		Linda Hirshman	Nonfiction, Politics	HarperCollins Publishers Inc.	2012
Digital	OverDrive	EBOOK	2020	6	2	Masters of Mankind: Essays and Lectures, 1969-2013		Noam Chomsky	Nonfiction, Politics	Open Road Integrated Media	2017
Digital	OverDrive	AUDIOBOOK	2020	6	1	Never Play Dead: How the Truth Makes You Unstoppable (unabridged) (Unabridged)		Tomi Lahren	Nonfiction, Politics	HarperCollins Publishers Inc.	2019
Digital	OverDrive	EBOOK	2020	6	10	Un-Trumping America: A Plan to Make America a Democracy Again		Dan Pfeiffer	Nonfiction, Politics	Hachette Digital, Inc.	2020
Digital	OverDrive	AUDIOBOOK	2020	6	2	The Road to Wigan Pier (Unabridged)		George Orwell	Nonfiction, Politics	Blackstone Audio, Inc.	2008
Digital	OverDrive	EBOOK	2020	6	1	War with Russia?: From Putin & Ukraine to Trump & Russiagate		Stephen F. Cohen	Nonfiction, Politics	Simon & Schuster, Inc.	2019
Digital	OverDrive	EBOOK	2020	6	3	The Accidental Superpower: The Next Generation of American Preeminence and the Coming Global Disorder		Mr. Peter Zeihan	Nonfiction, Politics	Hachette Digital, Inc.	2015
Digital	OverDrive	AUDIOBOOK	2020	6	2	No Is Not Enough: Resisting Trump's Shock Politics and Winning the World We Need (unabridged) (Unabridged)		Naomi Klein	Nonfiction, Politics	Blackstone Audio, Inc.	2017
Digital	OverDrive	EBOOK	2020	6	2	You're More Powerful than You Think: A Citizen's Guide to Making Change Happen		Eric Liu	Nonfiction, Politics	Hachette Digital, Inc.	2017
Digital	OverDrive	AUDIOBOOK	2020	6	4	United States of Socialism: Who's Behind It. Why It's Evil. How to Stop It. (unabridged) (Unabridged)		Dinesh D'Souza	Nonfiction, Politics	Macmillan Audio	2020
Digital	OverDrive	AUDIOBOOK	2020	6	5	The Socialist Manifesto: The Case for Radical Politics in an Era of Extreme Inequality (unabridged) (Unabridged)		Bhaskar Sunkara	Nonfiction, Politics	Blackstone Audio, Inc.	2019
Digital	OverDrive	AUDIOBOOK	2020	6	6	The Family: The Secret Fundamentalism at the Heart of American Power (unabridged) (Unabridged)		Jeff Sharlet	Nonfiction, Politics	HarperCollins Publishers Inc.	2009
Digital	OverDrive	AUDIOBOOK	2020	6	2	Socialism: An Economic and Sociological Analysis (unabridged) (Unabridged)		Ludwig von Mises	Nonfiction, Politics	Blackstone Audio, Inc.	2012
Digital	OverDrive	AUDIOBOOK	2020	6	4	Let the People Pick the President: The Case for Abolishing the Electoral College (unabridged) (Unabridged)		Jesse Wegman	Nonfiction, Politics	Macmillan Audio	2020
Digital	OverDrive	AUDIOBOOK	2020	6	12	Running Against the Devil: A Republican Strategist's Plot to Save America from Trump— and the Democrats from Themselves (unabridged) (Unabridged)		Rick Wilson	Nonfiction, Politics	Books on Tape	2020
Digital	OverDrive	EBOOK	2020	6	1	The Loud Minority: Why Protests Matter in American Democracy		Daniel Q. Gillion	Nonfiction, Politics	Princeton University Press	2020
Digital	OverDrive	AUDIOBOOK	2020	6	3	The Conscience of a Liberal (Unabridged)		Paul Krugman	Nonfiction, Politics	Books on Tape	2007
Digital	OverDrive	AUDIOBOOK	2020	6	4	It's Even Worse Than You Think: What the Trump Administration Is Doing to America (unabridged) (Unabridged)		David Cay Johnston	Nonfiction, Politics	Simon & Schuster - Audiobooks	2018
Digital	OverDrive	AUDIOBOOK	2020	6	6	Has Anyone Seen the President? (Unabridged)		Michael Lewis	Nonfiction, Politics	Simon & Schuster - Audiobooks	2018
Digital	OverDrive	AUDIOBOOK	2020	6	1	One Nation After Trump: A Guide for the Perplexed, the Disillusioned, the Desperate, and the Not-Yet Deported (unabridged) (Unabridged)		E.J. Dionne, Jr.	Nonfiction, Politics	Macmillan Audio	2017
Digital	OverDrive	EBOOK	2020	6	2	From Cold War to Hot Peace: An American Ambassador in Putin's Russia		Michael McFaul	Nonfiction, Politics	Houghton Mifflin Harcourt Trade and Reference	2018
Digital	OverDrive	EBOOK	2020	6	2	The Deep State: The Fall of the Constitution and the Rise of a Shadow Government		Mike Lofgren	Nonfiction, Politics	Penguin Group (USA), Inc.	2016
Digital	OverDrive	EBOOK	2020	6	1	The Future of Violence: Robots and Germs, Hackers and Drones?Confronting A New Age of Threat		Benjamin Wittes	Nonfiction, Politics	Hachette Digital, Inc.	2015
Digital	OverDrive	EBOOK	2020	6	1	When Google Met WikiLeaks		Julian  Assange	Nonfiction, Politics	Lightning Source Inc	2016
Digital	OverDrive	AUDIOBOOK	2020	6	18	The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future (unabridged) (Unabridged)		Andrew Yang	Nonfiction, Politics	Blackstone Audio, Inc.	2018
Digital	OverDrive	EBOOK	2020	6	1	The Roots of Obama's Rage		Dinesh D'Souza	Nonfiction, Politics	Perseus Books Group	2010
Digital	OverDrive	AUDIOBOOK	2020	6	2	Stop the Coming Civil War: My Savage Truth (unabridged) (Unabridged)		Michael Savage	Nonfiction, Politics	Blackstone Audio, Inc.	2014
Digital	OverDrive	EBOOK	2020	6	5	Shut It Down: Stories from a Fierce, Loving Resistance		Lisa Fithian	Nonfiction, Politics	Chelsea Green Publishing	2019
Digital	OverDrive	EBOOK	2020	6	1	The Year of Voting Dangerously: The Derangement of American Politics		Maureen Dowd	Nonfiction, Politics	Hachette Digital, Inc.	2016
Digital	OverDrive	AUDIOBOOK	2020	6	2	The CIA as Organized Crime: How Illegal Operations Corrupt America and the World (unabridged) (Unabridged)		Douglas Valentine	Nonfiction, Politics	Blackstone Audio, Inc.	2017
Digital	OverDrive	EBOOK	2020	6	1	Cypherpunks: Freedom and the Future of the Internet		Julian Assange	Nonfiction, Politics	OR Books LLC	2013
Digital	OverDrive	EBOOK	2020	6	2	War on Peace: The End of Diplomacy and the Decline of American Influence		Ronan Farrow	Nonfiction, Politics	W. W. Norton & Company	2018
